Date (UTC),Open,High,Low,Close,Adj Close,Volume,Dividends
2000-03-30,13.4375,14.125,13.125,13.875,11.316885948181152,962000,
2000-03-31,14.03125,14.9375,13.8125,14.421875,11.762929916381836,1992400,
2000-04-03,14.53125,14.625,12.96875,13.8125,11.265905380249023,1121600,
2000-04-04,13.78125,15.125,13.3125,15.03125,12.259960174560547,2271600,
2000-04-05,14.6875,15.875,14.46875,15.5625,12.693264961242676,1438400,
2000-04-06,15.765625,16.203125,15.1875,15.5,12.642287254333496,1640000,
2000-04-07,15.71875,16.15625,15.421875,16.125,13.152057647705078,2065200,
2000-04-10,16.25,16.875,15.671875,15.671875,12.782470703125,1632800,
2000-04-11,15.609375,15.671875,15.03125,15.28125,12.4638671875,617200,
2000-04-12,15.25,15.9375,15.0,15.1484375,12.355542182922363,958400,
2000-04-13,15.21875,15.59375,14.984375,15.09375,12.31093978881836,1350800,
2000-04-14,14.75,14.75,12.890625,14.0,11.418837547302246,2809200,
2000-04-17,13.53125,14.59375,11.890625,13.015625,10.615951538085938,2148400,
2000-04-18,12.9375,13.75,12.875,13.0,10.603205680847168,3342800,
2000-04-19,13.390625,13.85546875,13.15625,13.515625,11.023767471313477,1954800,
2000-04-20,13.96875,15.015625,13.4375,13.96875,11.393349647521973,804000,
2000-04-24,13.875,14.125,12.0546875,12.953125,10.564971923828125,850000,
2000-04-25,13.0625,14.09375,12.5,14.09375,11.495304107666016,1246800,
2000-04-26,13.875,13.90625,12.78125,12.8125,10.450277328491211,843200,
2000-04-27,12.71875,13.75,12.3125,13.296875,10.845351219177246,1587600,
2000-04-28,13.25,14.25,13.1875,14.21875,11.597259521484375,2270400,
2000-05-01,14.28125,14.625,13.71875,14.0,11.418837547302246,1029600,
2000-05-02,13.6875,14.0,13.125,13.5,11.01102352142334,694400,
2000-05-03,13.15625,13.78125,12.78125,13.375,10.909069061279297,632000,
2000-05-04,13.65625,13.75,13.21875,13.734375,11.202187538146973,320000,
2000-05-05,13.75,14.375,13.75,14.03125,11.444332122802734,698400,
2000-05-08,13.78125,13.90625,13.3125,13.3125,10.858092308044434,756000,
2000-05-09,13.546875,13.609375,12.90625,13.25,10.807116508483887,1047600,
